rank,title,year,imdb rating,director,stars,genre,runtime,language,country
1,The Shawshank Redemption,1994,9.3,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",Drama,142 min,English,USA
2,The Godfather,1972,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",Crime,175 min,English,USA
3,The Dark Knight,2008,9.0,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",Action,152 min,English,USA
4,The Godfather Part II,1974,9.0,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall",Crime,202 min,English,USA
5,12 Angry Men,1957,9.0,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam",Drama,96 min,English,USA
6,Schindler's List,1993,9.0,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley",Biography,195 min,English,USA
7,The Lord of the Rings: The Return of the King,2003,9.0,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen",Action,201 min,English,New Zealand
8,Pulp Fiction,1994,8.9,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson",Crime,154 min,English,USA
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom",Action,178 min,English,New Zealand
10,Il buono, il brutto, il cattivo,1966,8.8,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef",Western,178 min,Italian,Italy
11,Forrest Gump,1994,8.8,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise",Drama,142 min,English,USA
12,Fight Club,1999,8.8,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",Drama,139 min,English,USA
13,The Lord of the Rings: The Two Towers,2002,8.8,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",Action,179 min,English,New Zealand
14,Inception,2010,8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",Action,148 min,English,USA
15,Goodfellas,1990,8.7,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",Biography,146 min,English,USA
16,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",Action,124 min,English,USA
17,One Flew Over the Cuckoo's Nest,1975,8.7,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman",Drama,133 min,English,USA
18,The Matrix,1999,8.7,Lana Wachowski,Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",Action,136 min,English,USA
